id,name,summary,cultivation,toxicity
90,Cyperus alternifolius,"Cyperus alternifolius, the umbrella papyrus, umbrella sedge or umbrella palm, is a grass-like plant in the large genus Cyperus of the sedge family Cyperaceae. The plant is native to West Africa, Madagascar and the Arabian Peninsula, but widely distributed throughout the world. It has gained the Royal Horticultural Society's Award of Garden Merit. The subspecies Cyperus alternifolius ssp. flabelliformis is also known as Cyperus involucratus Rottb..

","Cyperus alternifolius is frequently cultivated as an ornamental plant worldwide. It is planted in gardens in the ground, pots, in ponds, and as a houseplant. It is not hardy, and requires protection when temperatures fall below 5 °C (41 °F) (USDA Zones: 9a–11b). It is propagated by dividing the roots or cutting off a top and placing it upside down in a glass of water. It requires copious moisture and can grow in a few inches of water. The cultivar Cyperus alternifolius 'Variegatus' is grown for its variegated foliage and smaller size.",No data available
91,Cyrtomium falcatum,"Cyrtomium falcatum is a species of fern, commonly known as house holly-fern and Japanese holly fern, in the wood fern family Dryopteridaceae. It is native to eastern Asia.
It grows from crevices in coastal cliffs, stream banks, rocky slopes, and other moist, stable areas.

","Cyrtomium falcatum is a fairly common outdoor ornamental plant in temperate climates (zones 7 to 10), such as in the coastal counties of California; it is more common as an indoor houseplant in areas with very cold or hot conditions. The holly fern is reliably hardy compared to many other, more tropical species of fern; outdoors, it thrives in locations of low indirect light to deep shade, such as underneath trees or bushes. It may be propagated by spores, but is more commonly multiplied via rhizome division, rooting the fresh cuttings in a substrate of coconut fiber, sphagnum moss, or another well-aerated substrate. The cuttings should be kept evenly moist and shaded but not sitting in a pool of water.
Holly ferns planted either in containers or in the ground are not picky about soil composition or quality; like other ferns, they will even grow mounted or tied to driftwood, wooden boards, tree branches or rocks, provided there is some amount of sphagnum moss or other organic medium surrounding the rhizome and rootball and the plant receives adequate water. While soil quality is not of utmost importance, good drainage and aeration, combined with sufficient moisture retention, is a must. Fertilization is not required, as they are minimal feeders; however, a yearly or twice-yearly application of granular, time-released plant feed may be beneficial.
The holly fern plant has gained the Royal Horticultural Society's Award of Garden Merit.
The holly fern has escaped from cultivation in some regions of the world, and has become established in the wild as an introduced species. It can now be found in much of Mediterranean Europe, North America, the Atlantic Islands, Australia, New Zealand, and South America. It is classified as a weed in most of Australia.",No data available
92,Davallia fejeensis,"Davallia fejeensis is a species of epiphytic fern in the family Davalliaceae, commonly referred to as rabbit's foot fern. They are best known for their furry, brown and yellow rhizomes, which resemble rabbit's feet.
It is native to the Fiji Islands in Oceania. They survive from approximately 60–75 °F (16–24 °C) and cannot survive below 55 °F (13 °C). Their fronds can grow up to 2 feet (61 centimeters) in height.",No data available,No data available
93,Delosperma lehmannii,"Delosperma lehmannii is a succulent plant native to parts of the Eastern Cape Province of South Africa. Sometimes called ice plant, it is grown as a decorative houseplant for its distinctive smooth, angular leaves. The specific epithet lehmannii honors the German professor of botany in Hamburg Johann Georg Christian Lehmann.
Delosperma lehmannii grows in the eastern coastal strip of the Cape Peninsula over an area of about 70 km2 between Coega and Port Elizabeth.
It grows on quartz soils in the Karoo. It tolerates aridity well and temperatures down to -5 °. Densely leafy, it forms a cushion with a tap root and some additional adventitious roots on sprawling, prostrate stems.
Although it has not yet been subjected to an evaluation by the IUCN, the South African National Biodiversity Institute (SANBI) has classified it as a species at extremely high risk of extinction in the wild. In 2006, of the six registered populations, four were extinct due to the urban expansion of Port Elizabeth; in one of the remaining sub-populations near Coega over 60% of the habitat had been lost to mining.

",No data available,No data available
94,Didymochlaena,"Didymochlaena is a genus of ferns. In the Pteridophyte Phylogeny Group classification of 2016 (PPG I), it is the only genus in the family Didymochlaenaceae. Alternatively, the family may be placed in a very broadly defined family Polypodiaceae sensu lato as the subfamily Didymochlaenoideae.

",No data available,No data available
95,Dieffenbachia plant,"Dieffenbachia , commonly known as dumb cane or leopard lily, is a genus of tropical flowering plants  in the family Araceae. It is native to the New World Tropics from Mexico and the West Indies south to Argentina. Some species are widely cultivated as ornamental plants, especially as houseplants, and have become naturalized on a few tropical islands.
Dieffenbachia is a perennial herbaceous plant with straight stem, simple and alternate leaves containing white spots and flecks, making it attractive as indoor foliage. Species in this genus are popular as houseplants because of their tolerance of shade. The English names, dumb cane and mother-in-law's tongue (also used for Sansevieria species) refer to the poisoning effect of raphides, which can cause temporary inability to speak. Dieffenbachia was named by Heinrich Wilhelm Schott, director of the Botanical Gardens in Vienna, to honor his head gardener Joseph Dieffenbach (1790–1863).","With a minimum temperature of 5 °C (41 °F), dieffenbachia must be grown indoors in temperate areas. They need light, but filtered sunlight through a window is usually sufficient. They also need moderately moist soil, which should be regularly fertilized with an appropriate houseplant fertilizer. Leaves will periodically roll up and fall off to make way for new leaves. Yellowing of the leaves is generally a sign of problematic conditions, such as a nutrient deficiency in the soil. Dieffenbachia respond well to hot temperatures and dry climates.
Dieffenbachia prefer medium sunlight, moderately dry soil and average home temperatures of 62–80 °F (17–27 °C). Most require water about twice a week.
As Dieffenbachia seguine comes from the tropical rain forest, it prefers to have moisture at its roots, as it grows all the time, it needs constant water, but with loose well aerated soils.
The cultivars 'Camille'  and 'Tropic Snow' have gained the Royal Horticultural Society's Award of Garden Merit.","The cells of the Dieffenbachia plant contain needle-shaped calcium oxalate crystals called raphides. If a leaf is chewed, these crystals can cause a temporary burning sensation and erythema.  In rare cases, edema of tissues exposed to the plant has been reported.  Mastication and ingestion generally result in only mild symptoms. With both children and pets, contact with Dieffenbachia (typically from chewing) can cause a host of unpleasant symptoms, including intense numbing, oral irritation, excessive drooling, and localized swelling.  However, these effects are rarely life-threatening. In most cases, symptoms are mild, and can be successfully treated with analgesic agents, antihistamines, or medical charcoal. 
Severe cases can occur if Dieffenbachia makes prolonged contact with oral mucosal tissue. In such cases, symptoms generally include severe pain which can last for several days to weeks. Hospitalization may be necessary if prolonged contact is made with the throat, in which severe swelling has the potential to affect breathing. 
Gastric evacuation or lavage is seldom indicated. In patients with exposure to toxic plants, 70% are children younger than 5 years.
Stories that Dieffenbachia is a deadly poison are urban legends."
96,Dieffenbachia seguine,"Dieffenbachia seguine, widely known as dumbcane, as well as leopard lily or tuftroot, is a species of Dieffenbachia, a flowering aroid plant of the family Araceae (the arums). It is native to the neotropical realm of the Americas, from extreme southern Mexico and Belize and much of Central America, as well as the northern half of South America (it is typically absent in Argentina, Chile, Paraguay and Uruguay). It is found on many Caribbean islands and territories, including Cuba, Grand Bahama, Grenada, Guadeloupe, Hispaniola, Îles des Saintes, Jamaica, Martinique, Puerto Rico, Saba, Saint Kitts and Trinidad and Tobago. D. seguine is also found on the Galápagos islands of Santa Cruz and San Cristóbal, where it was likely introduced by humans.",Dieffenbachia seguine is cultivated as an ornamental plant in temperate shade gardens and as a potted house plant. Cultivars emphasize different patterns of variegation.,No data available
97,Dioscorea elephantipes,"Dioscorea elephantipes, the elephant's foot yam or Hottentot bread, is a species of flowering plant in the genus Dioscorea of the family Dioscoreaceae, native to the dry interior of South Africa.

","This species is not difficult to cultivate, however it requires extremely coarse, well-drained soil, and sparse watering. Importantly, it is deciduous and loses its leaves in the summer. At this time it goes through a dry dormancy period. It has gained the Royal Horticultural Society's Award of Garden Merit.",No data available
98,Disocactus phyllanthoides,"Disocactus phyllanthoides, the nopalxochitl or German empress, is a species of flowering plant in the cactus family Cactaceae. It is commonly grown as an ornamental houseplant. It is one of the three major species involved in creating the widely grown epiphyllum hybrids or ""epis"". The others are Disocactus speciosus and Disocactus crenatus.","Disocactus phyllanthoides is very easily cultivated. The soil should contain plenty of leaf-mould and the plant be given regular water and doses of fertilizer in summer. Best kept relatively cool and dry in winter, 10–15 °C (50–59 °F). Plants held under proper conditions can produce flowers at least three times a year, but the main flowering period is spring.
Under its synonym Nopalxochia phyllanthoides this plant has won the Royal Horticultural Society's Award of Garden Merit.",No data available
99,Dracaena angolensis,"Dracaena angolensis (synonym Sansevieria cylindrica), commonly known as African spear or the spear sansevieria, is a succulent plant native to Angola in Southern Africa. For years, it was placed within the genus Sansevieria (snake-plants), a specific name which is still used synonymously by some; in the 21st century, Sansevieria became part of Dracaena (dragon-trees), after improved testing methods, physical comparisons, and other analyses found sufficient commonalities between the two genera to warrant subsumption.
The genus Dracaena is a part of the Asparagaceae (asparagus family)—i.e., they are closely aligned with and related to such groups as the Asparagus, Agave, Beaucarnea (ponytail ""palms""), Chlorophytum (spider-plants), Camassia, Dasylirion (sotols), Hesperaloe (Texan or red yuccas) and Yucca (Joshua trees).","The species is drought-tolerant and in cultivation requires water only about once every other week during the growing season. The species can be watered once a month during the winter months. The species was described by Wenceslas Bojer in 1837. Dracaena angolensis (under the synonym Sansevieria cylindrica) received its common name from a competition in a Dutch national newspaper. It is popular as an ornamental plant as it is easy to culture and take care of in a home if given bright sunlight and other required resources.  In Brazil, where it is known as lança de São Jorge (""St. George's spear""), it is grown outside houses to ward off evil that might harm the home. The plant plays an important part in the Afro-Brazilian syncretic religion Umbanda, representing the orisha Ogum, as Ogum is syncretized with St. George.",No data available
100,Dracaena arborescens,"Dracaena arborescens, synonym Sansevieria arborescens, is a succulent plant native to Kenya and Tanzania.",No data available,No data available
101,Dracaena bagamoyensis,"Dracaena () is a genus of about 200 species of trees and succulent shrubs.  The formerly accepted genera Pleomele and Sansevieria are now included in Dracaena. In the APG IV classification system, it is placed in the family Asparagaceae, subfamily Convallarioideae (formerly the family Ruscaceae). It has also formerly been separated (sometimes with Cordyline) into the family Dracaenaceae or kept in the Agavaceae (now Agavoideae).
The name dracaena is derived from the romanized form of the Ancient Greek δράκαινα – drakaina, ""female dragon"".
The Plants of the World Online database accepts 214 species as of July 2025. The majority of the species are native to Africa (including the Canary Islands and Socotra), southern Asia, northern Australia, with two species in tropical Central America and one, Dracaena konaensis, in Hawai'i.",No data available,No data available
102,Dracaena braunii,"Dracaena braunii is a species of flowering plant in the family Asparagaceae. It was named after the German collector Braun, Johannes M. (1859–1893). Most plants named Dracaena braunii in cultivation are Dracaena sanderiana, a plant with flowers five times longer than those of D. braunii, while the leaf base is not congested as in D. braunii.",No data available,No data available
103,Dracaena fragrans,"Dracaena fragrans (cornstalk dracaena), is a flowering plant species that is native to tropical Africa, from Sudan south to Mozambique, west to Côte d'Ivoire and southwest to Angola, growing in upland regions at 600–2,250 m (1,970–7,380 ft) altitude.","In Africa, D. fragrans is commonly grown as a hedge plant. It is suited to frost-free climates and USDA Hardiness zones 10-11. Elsewhere, it is primarily popular as a houseplant and valued for its tolerance of a wide range of indoor conditions, from bright indirect light, to bright shade (which brings out more variegation in certain hybrids) and even deep shade (where it will have a darker green color). It is also very tolerant of neglect. The NASA Clean Air Study indicated that the plant aided removal of indoor pollutants such as formaldehyde, xylene, and toluene; however, these results were not applicable to typical buildings, where outdoor-to-indoor air exchange already removes volatile organic compounds at a rate that could only be matched by the placement of 10–1000 plants/m2 of a building's floor space.
The plant is known as ""masale"" to the Chagga people of Tanzania, who regard it as holy.
In cultivation, in the Neotropics, a few generalist hummingbird species, like the sapphire-spangled emerald (Chionomesa lactea), visit the flowers.",No data available
104,Dracaena masoniana,"Dracaena masoniana, synonym Sansevieria masoniana, is a species of Dracaena native to Africa and originally collected in the Democratic Republic of the Congo. It was initially known in cultivation under the cultivar name 'Mason Congo'. Commonly grown as a houseplant for its striking foliage, it can survive in bright filtered light or shade and with infrequent watering. Often grown as a single large, stiff leaf in pots, the plant's other common names include ""whale fin"" or ""shark's fin"".",No data available,No data available
105,Dracaena pethera,"Dracaena pethera, synonym Sansevieria kirkii, also known as the star sansevieria or the snake plant, is a succulent plant native to Tanzania and the surrounding region in East Africa.",No data available,No data available
106,Dracaena pinguicula,"Dracaena pinguicula, synonym Sansevieria pinguicula, also known as the walking sansevieria, is a xerophytic CAM succulent native to the Bura area of Kenya, near Garissa. The species was described by Peter René Oscar Bally in 1943.","Dracaena pinguicula is extremely slow growing and requires warm temperatures to grow. It is therefore difficult to find in cultivation. Variegated specimens are highly prized but rarely arise, and are sold at high prices. Normal specimens are more common but still highly sought after due to their unique growing habit.",No data available
107,Dracaena reflexa,"Dracaena reflexa (commonly called song of India or song of Jamaica) is a tree native to Mozambique, Madagascar, Mauritius, and other nearby islands of the Indian Ocean. It is widely grown as an ornamental plant and houseplant, valued for its richly coloured, evergreen leaves, and thick, irregular stems.","Dracaena reflexa is a popular ornamental plant, both in the landscape and the home. It can be enjoyed as a specimen plant, accent, or pruned to create a border. Several cultivars have been selected, particularly variegated clones with cream and yellow-green margins. It performs well as a houseplant, tolerating infrequent waterings. It prefers bright, filtered light, without direct sun exposure, restricted outdoors to zones 10–11. It has average water needs and should be fertilized bi-weekly when actively growing. Although it can survive in relatively low light levels, the plant may grow spindly if given insufficient light. When grown indoors, temperatures of 18 to 25 °C (64 to 77 °F) should be maintained. It can be propagated via herbaceous stem cuttings.
The cultivar Dracaena reflexa 'Variegata'  has gained the Royal Horticultural Society's Award of Garden Merit. (confirmed 2017)
Traditional medicine practitioners of Madagascar have long believed Dracaena reflexa to cure malarial symptoms, poisoning, dysentery, diarrhea, dysmenorrhea, and to be useful as an antipyretic and hemostatic agent. The leaves and bark are mixed with parts of a number of other native plants and mixed into herbal teas. Its effectiveness in any such treatment remains unproven.

The fruit of D. reflexa is also important to the diet of the Malagasy black-and-white ruffed lemur (Varecia variegata variegata). The Frégate beetle (Polposipus herculeanus), an endangered species endemic to Frégate Island (Seychelles), is also known to associate with this plant.",No data available
108,Dracaena sanderiana,"Dracaena sanderiana is a species of flowering plant in the family Asparagaceae, native to Central Africa. It was named after the German–English gardener Henry Frederick Conrad Sander (1847–1920). The plant is commonly marketed as ""lucky bamboo,"" which has become one of its common names, although it is not a species of bamboo.","Dracaena sanderiana and its related varieties are popular houseplants. It is a suitable plant for confined spaces, and it does very well in indirect sunlight or partial shade as direct sunlight often causes its leaves to burn or yellow. The ideal temperature range for D. sanderiana is from 16 to 27 °C (61 to 81 °F). It requires average warmth, adequate light, and regular watering with dry periods in between if planted in soil. It tolerates dry air, but because it is a tropical plant, it does best in higher humidity areas or when given regular mistings. When planted indoors, it stays a smaller, more compact size while growing upwards, leading to its bamboo-like appearance. In contrast, if planted in the ground, it loses its bamboo-like look and it would fill with a leaf-like shape like other dragon trees. When it comes to light, lucky bamboo prefers bright, filtered sunlight, such as what is found under a rainforest canopy. Avoid direct sunlight as it will scorch the leaves. It can be propagated by cutting a part of the stem just above a node (the ""rings"" around the plant's stem from which offshoots grow). Cuttings can be made year round.",No data available
109,Dracaena spathulata,"Dracaena () is a genus of about 200 species of trees and succulent shrubs.  The formerly accepted genera Pleomele and Sansevieria are now included in Dracaena. In the APG IV classification system, it is placed in the family Asparagaceae, subfamily Convallarioideae (formerly the family Ruscaceae). It has also formerly been separated (sometimes with Cordyline) into the family Dracaenaceae or kept in the Agavaceae (now Agavoideae).
The name dracaena is derived from the romanized form of the Ancient Greek δράκαινα – drakaina, ""female dragon"".
The Plants of the World Online database accepts 214 species as of July 2025. The majority of the species are native to Africa (including the Canary Islands and Socotra), southern Asia, northern Australia, with two species in tropical Central America and one, Dracaena konaensis, in Hawai'i.",No data available,No data available
110,Dracaena suffruticosa,"Dracaena suffruticosa, synonym Sansevieria suffruticosa is a species of Dracaena native to eastern Africa, from Ethiopia to Malawi. The first description of the species was made in 1915 by N. E. Brown.",No data available,No data available
111,Dracaena surculosa,"Dracaena surculosa, called the gold dust dracaena and spotted dracaena, is a species of flowering plant in the family Asparagaceae, native to west and west-central tropical Africa, from Guinea to the Republic of the Congo. Its cultivar 'Florida Beauty' has gained the Royal Horticultural Society's Award of Garden Merit.",No data available,No data available
112,Dracaena trifasciata,"Dracaena trifasciata is a species of flowering plant in the family Asparagaceae, native to tropical West Africa from Nigeria east to the Congo. It is most commonly known as the snake plant, Saint George's sword, mother-in-law's tongue, and viper's bowstring hemp, among other names. Until 2017, it was known under the synonym Sansevieria trifasciata. This plant is often kept as a houseplant due to its non-demanding maintenance; they can survive with very little water and sun.","Like other members of its genus, D. trifasciata yields bowstring hemp, a strong plant fiber once used to make bowstrings.
It is now used predominantly as an ornamental plant, outdoors in warmer climates, and indoors as a houseplant in cooler climates. It is popular as a houseplant because it is tolerant of low light levels and irregular watering; during winter, it needs only one watering every couple of months. It will rot easily if overwatered. It is commonly recommended to beginners interested in cultivating houseplants for its easy care.
The NASA Clean Air Study found D. trifasciata has the potential to filter indoor air, removing four of the five main toxins involved in the effects of sick building syndrome. However, its rate of filtration is too slow for practical indoor use.
It can be propagated by cuttings or by dividing the rhizome. The first method has the disadvantage that the variegation will be lost.

D. trifasciata is considered by some authorities a potential weed in Australia. It is widely used as an ornamental in the tropics outdoors in pots and garden beds, and in temperate areas as an indoor plant.
The plant contains saponins which are mildly toxic to dogs and cats and can lead to gastrointestinal upset if consumed.
In South Africa, it is used to treat ear infections.",No data available
113,Englerarum,"Englerarum montanum (syn. Alocasia gageana), the dwarf upright elephant ear or dwarf taro, is a species of flowering plant in the family Araceae. The sole member of its genus, Englerarum, it is a perennial native to Laos, Thailand, the Kachin Hills of Myanmar, and southwestern Yunnan in south-central China.
Reaching 4 ft (1 m), it is only a dwarf when compared to the giant upright elephant ear Alocasia odora or to taro (Colocasia esculenta). It makes for a large houseplant, or an outdoor ornamental plant in tropical or (nearly) frost-free subtropical areas (USDA zone 9b or warmer).

",No data available,No data available
114,Epipremnum aureum,"Epipremnum aureum is a species in the arum family Araceae, native to Mo'orea in the Society Islands of French Polynesia. The species is a popular houseplant in temperate regions but has also become naturalised in tropical and sub-tropical forests worldwide, including northern South Africa, Australia, Southeast Asia, Indian subcontinent, the Pacific Islands and the West Indies, where it has caused severe ecological damage in some cases.
The plant has a number of common names including golden pothos, Ceylon creeper, hunter's robe, ivy arum, silver vine, Solomon Islands ivy, and taro vine. It is also called devil's vine or devil's ivy because it is very hardy and stays green even when kept in the dark. It is sometimes simply labelled Pothos, or mistakenly labelled as a Philodendron or Scindapsus in plant stores. It is commonly known as a money plant in many parts of Indian subcontinent. It rarely flowers without artificial hormone supplements; one of the last known spontaneous flowerings in cultivation was reported in 1964. An amateur grower discovered a flowering Epipremnum aureum in 2023. 
The plant has gained the Royal Horticultural Society's Award of Garden Merit.","In temperate regions, it is a popular houseplant with numerous cultivars selected for leaves with white, yellow, or light green variegation. It is often used in decorative displays in shopping centers, offices, and other public locations largely because it requires little care and is also attractively leafy. In tropical countries, it is found in many parks and gardens, and tends to grow naturally.
As an indoor plant it can reach more than 2 metres (2 yd) in height if given the adequate support (a trellis or moss pole to climb), but hardly develops adult-sized leaves. The best results are achieved by providing indirect light; it tolerates an intense luminosity, but long periods of direct sunlight burn the leaves. It lives well with a temperature between 17 and 30 °C (63 and 86 °F). Generally, the plant will only need watering when the soil feels dry to the touch (typically once every one to two weeks). The plant should be fertilized every 2-3 months during its growing season, and at a reduced rate the rest of the year. It should be replanted at least every 1-2 years, or sooner if it becomes too root-bound. However, it is a very robust plant, and will survive bad growing conditions. The plant grows rapidly in hydroponic culture.
It can be cultivated from a cutting, however, this can carry various diseases such as Erwinia leaf spot, Pythium root rot, Rhizoctonia root rot (Rhizoctonia foot rot), Pseudomonas leaf spot, Southern blight, and Xanthomonas blight.
The plant can remove indoor pollutants such as formaldehyde, trichloroethene, toluene, xylene, and benzene in controlled circumstances (e.g. a sealed room). A study found that this effect declined as the molecular weight of the polluting substance increased.
The plant is sometimes used in aquariums, placed on top of the aquarium, and allowed to grow roots in the water. This is beneficial to the plant and the aquarium as it absorbs nitrates, using them for growth.","The plant is listed as toxic to cats and dogs by the ASPCA, because of the presence of insoluble raphides. Care should be taken to ensure the plant is not consumed by pets.  Symptoms may include oral irritation, vomiting, and difficulty in swallowing.
Due to the calcium oxalate within the plant, it can be mildly toxic to humans as well. Possible side effects from the consumption of E. aureum are atopic dermatitis (eczema) as well as burning and/or swelling of the region inside of and surrounding the mouth. Excessive contact with the plant can also lead to general skin irritation or contact dermatitis."
115,Epipremnum pinnatum,"Epipremnum pinnatum is a species of flowering plant in the family Araceae. It has many common names, including centipede tongavine, taro vine, silver vine and dragon-tail plant. In the Philippines, it is known in Tagalog as tibatib. 
Epipremnum pinnatum starts life on the ground and climbs up trees in its natural forest environment, transitioning to an epiphytic lifestyle over time. It exhibits foliage dimorphism, where juvenile leaves look different from mature leaves of the same plant. 

","The plant has been kept as a houseplant or garden plant for ornamental purposes. Its leaves possess an aesthetic value, and the plant can be hardy in most indoor conditions. In a flower pot, or at a smaller size, its growth is similar to many vining plants, following a drooping, creeping pattern. Aerial roots will dot the stem. Instead of letting the plant hang, some gardeners prefer to add a small lattice or climbing pole for the plant, which would allow it to climb into a more visually interesting shape. 
In a pot, the plant needs water retaining, porous soil. Many commercially available houseplant or tropical garden soil mixes will suffice. The plant is not entirely drought resistant, and needs the soil it's rooted in to be watered weekly, or more frequently in a bigger pot. So long as the soil is allowed to partially or fully dry a couple inches down between waterings. It helps to provide good drainage to the pot, as standing water can damage the plant's roots.",No data available
116,Euphorbia trigona,"Euphorbia trigona, the African milk tree, cathedral cactus, or Abyssinian euphorbia, is a species of flowering plant that originates from Central Africa. Somewhat common in cultivation as a houseplant or as a hedge, the species is one of the euphorbias with succulent stems and branches as an adaptation to arid climates. 

","Euphorbia trigona can withstand brief cold temperatures of down to −3 °C (27 °F). It prefers sandy soil but can cope with most types of well-drained soil. It can root easily from stem cuttings, if allowed to dry for 3–7 days before planting so that it can form a callus and not rot. It grows to a height of 1.5–3 m (4 ft 11 in – 9 ft 10 in).",No data available
117,Excoecaria cochinchinensis,"Excoecaria cochinchinensis is a species of flowering plant in the spurge family, Euphorbiaceae. It is sometimes referred to by the common names Chinese croton, blindness tree, buta buta, and jungle fire plant. It is native to Southeast China, Hainan, Laos, Malaysia, Myanmar, Taiwan, Thailand, and Vietnam.
It is a subtropical evergreen shrub with a woody stem, growing up to 1–2 meters (3.3–6.6 ft) high. Its leaves are opposite, their texture shiny and papery, the upper surface dark green or variegated and the underside a deep maroon. The leaves measure  6–14 cm by 2–4 cm (2.4–5.5 in by 0.8–1.6 in). It is dioecious.

",No data available,No data available
118,Fatsia japonica,"Fatsia japonica, also fatsi, paperplant, false castor oil plant, or Japanese aralia, is a species of flowering plant in the family Araliaceae, native to southern Japan and southern Korea.

","It is commonly grown as an ornamental plant in warm temperate regions where winters do not fall below about −15 °C (5 °F). F. japonica thrives in semi-shade to full-shade and is winter hardy in USDA Zones 8–10. It can be grown as an indoor plant and has been shown to effectively remove gaseous formaldehyde from indoor air.
This plant and its cultivar F. japonica 'Variegata' have gained the Royal Horticultural Society's Award of Garden Merit.
An ornamental plant, F. japonica 'Spider's Web' (or 'Spider White') is a rare cultivar with variegated leaves. Slower growing than the original species, it reaches a lower maximum height of 2.5 m (8.2 ft) at maturity. The dark-green leaves are strongly white-flecked, particularly at the edges, though the white variegation may occasionally disperse across the whole leaf. The variegation may change with the seasons and as the plant ages. Terminal clumps of white flowers emerge in autumn, which are followed by black berries.",No data available
119,Ficus benghalensis,"Ficus benghalensis, Ficus indica, or Ficus audrey commonly known as the banyan, banyan fig and Indian banyan, is a tree native to the Indian Subcontinent. Specimens in India are among the largest trees in the world by canopy coverage. It is also known as a ""strangler fig"" because like many other trees in the genus Ficus it starts out as epiphyte, that is, leaning on another tree that it ends up suffocating.",No data available,No data available
120,Ficus benjamina,"Ficus benjamina, commonly known as weeping fig, benjamin fig or ficus tree and often sold in stores as just ficus, is a species of flowering plant in the family Moraceae, native to Asia and Australia. It is the official tree of Bangkok. The species is also naturalized in the West Indies and in the states of Florida and Arizona in the United States. Its small fruit are favored by some birds. Ficus trees have proved to have environmental benefits in urban areas, such as acting as biomonitors. The species is also associated with some allergens.   

","In tropical, subtropical and warm temperate latitudes, the weeping fig makes a very large and stately tree for parks and other urban situations, such as wide roads. It is often cultivated for this purpose, such as in Bourbong Street Weeping Figs in Bundaberg, where it is heritage listed. 
F. benjamina is a very popular houseplant in temperate areas because of its elegant growth and tolerance of poor growing conditions; it does best in bright, sunny conditions, but it also tolerates considerable shade. It requires a moderate amount of watering in summer and only enough to keep it from drying out in the winter. Longer days, rather high daytime and moderate night-time temperatures constitute favorable conditions for appreciable growth in a short time. It does not need to be misted. The plant is sensitive to cold and should be protected from strong drafts. When grown indoors, it can grow too large for its location and may need drastic pruning or replacement. F. benjamina has been shown effectively to remove gaseous formaldehyde from indoor air. F. benjamina also helps eliminate heavy metals, most commonly in urban areas. The plant has been used as a biomonitor in New Mexico.  
Figs tend to be consumed dried. The fruit is edible, but the species is not usually grown for its fruit. The leaves have been known to have pharmaceutical benefits such as anti-oxidant properties. The leaves are very sensitive to small changes in light. When a tree is turned around or relocated, it reacts by dropping many of its leaves and replacing them with new leaves adapted to the new light intensity. The plant is also sensitive to changes in other environmental factors such as temperature, humidity and relocation (citation needed).",No data available
121,Ficus elastica,"Ficus elastica, the rubber fig, rubber bush, rubber tree, rubber plant, or Indian rubber bush, Indian rubber tree, or rambung is a species of flowering plant in the family Moraceae, native to eastern parts of South and Southeast Asia. It has become naturalized in Sri Lanka, the West Indies, and the US state of Florida. Its common names reflect its historical use as a source of rubber within its native range, but it is not used in the modern commercial-scale production of natural rubber.

","In parts of India, people guide the roots of the tree over chasms to eventually form living bridges. To this day there are large bridges woven from aerial roots in Meghalaya, India. Although the trees used for these bridges are very large, aerial roots can be found on F. elastica as small as 1 feet tall.",No data available
122,Ficus lyrata,"Ficus lyrata, commonly known as the fiddle-leaf fig, banjo fig, fiddle-leaved fig tree, lyre leaf fig tree, or lyre-leaved fig tree, is a species of plant in the mulberry and fig family Moraceae. It is native to western Africa, but is cultivated around the world as an ornamental plant. It has received the Royal Horticultural Society's Award of Garden Merit.

","It is a popular ornamental tree in subtropical and tropical gardens, and is also grown as a houseplant in temperate areas, where it usually stays shorter and fails to flower or fruit. It requires direct natural light. It is hardy down to 10 °C (50 °F), so specimens may be placed outside during warm periods.",No data available
123,Ficus pumila,"Ficus pumila, commonly known as the creeping fig or climbing fig, is a species of flowering plant in the  mulberry family, native to East Asia (China, Japan, Vietnam) and naturalized in parts of the southeastern and south-central United States. It is also found in cultivation as a houseplant. The Latin specific epithet pumila means ""dwarf"", and refers to the very small leaves of the plant.

","As the common name, ""creeping fig"" indicates, the plant has a creeping/vining habit and is often used in gardens and landscapes where it covers the ground and climbs up trees and walls. It is hardy down to 1 °C (34 °F) and does not tolerate frost. Therefore in temperate regions it is often seen as a houseplant. It is fast-growing and requires little in the way of care. It can be invasive when environmental conditions are favorable. Its secondary roots or tendrils can cause structural damage to certain buildings with fragile mortar or structures made of fragile materials.
It has gained the Royal Horticultural Society's Award of Garden Merit.
The plant requires the fig wasp Blastophaga pumilae for pollination, and is fed upon by larvae of the butterfly Marpesia petreus.","Like other plant species in the family Moraceae, contact with the milky sap of Ficus pumila can cause phytophotodermatitis, a potentially serious skin inflammation. Although the plant is not poisonous per se, F. pumila is listed in the FDA Database of Poisonous Plants."
